Place ID,店舗名,住所,緯度,経度,評価,レビュー数,営業状況,営業時間,電話番号,ウェブサイト,価格帯,店舗タイプ,店舗説明,テイクアウト,デリバリー,店内飲食,朝食提供,昼食提供,夕食提供,地区,取得方法,更新日時
ChIJ68h5fKdl818RlP6J4pNV9cM,無料市営駐車場（佐渡市相川）,日本、〒952-1511 新潟県佐渡市相川材木町４１−１,38.0338515,138.2384371,4.5,2,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4.5（2件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:44:55
ChIJ6UNROuNY818R17uZ04Cg8hE,片野尾駐車場,日本、〒952-3542 新潟県佐渡市片野尾,38.0636316,138.57148519999998,4.3,3,営業中,,0259-63-3111,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4.3（3件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:44:56
ChIJ76qqC1Ji818RojLfXZ7h_lk,佐渡市役所真野行政サービスセンター駐車場,日本、〒952-0318 新潟県佐渡市真野新町,37.966426899999995,138.3465258,3,1,営業中,,0259-55-3111,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3（1件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,真野,CID URL検索,2025-08-09 12:44:58
ChIJ77yyAwBn818ROT14irMMpaA,佐渡総合病院第３駐車場,日本、〒952-1209 新潟県佐渡市千種１７３−１,38.0210071,138.3672335,,,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:44:59
ChIJ7dsPhepl818RwWxV3GqhO6I,きらりうむ佐渡駐車場／相川公園駐車場,日本、〒952-1511 新潟県佐渡市相川栄町19ｰ2,38.0306869,138.24006660000003,5,2,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価5（2件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:45:01
ChIJ7ffu7Ixl818Rd4uOWGmXJms,佐渡金山第２駐車場,日本、〒952-1501 新潟県佐渡市下相川１３０５,38.0407906,138.2545006,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:45:02
ChIJ7UFaCVlc818Ruot06ER06L4,両津港南埠頭駐車場（有料）,日本、〒952-0014 新潟県佐渡市両津湊１３７,38.0804127,138.4373172,3.4,7,営業中,,0259-27-6297,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3.4（7件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:45:04
ChIJ82YriV9v818Rg1n96ry7bp4,佐渡奉行所跡駐車場,日本、〒952-1531 新潟県佐渡市相川広間町,38.0361378,138.240424,3.5,13,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3.5（13件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:45:05
ChIJKyNbbV9v818Ru2U-1McpoB8,相川技能伝承展示館,日本、〒952-1539 新潟県佐渡市相川北沢町2,38.0372738,138.2409108,4.3,32,営業中,月曜日: 8時30分～17時00分; 火曜日: 8時30分～17時00分; 水曜日: 8時30分～17時00分; 木曜日: 8時30分～17時00分; 金曜日: 8時30分～17時00分; 土曜日: 8時30分～17時00分; 日曜日: 8時30分～17時00分,0259-74-4313,https://www.city.sado.niigata.jp/site/museum/464.html,価格情報なし,"博物館, 観光地, 観光スポット, 施設",博物館です。評価4.3（32件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:45:07
ChIJaTdhv1lc818R6--IZ8Vdvb0,佐渡市営湊駐車場（有料）,日本、〒952-0014 新潟県佐渡市両津湊２００−１,38.0797504,138.4359014,4,1,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,情報なし,https://www.city.sado.niigata.jp/soshiki/2020/3611.html,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4（1件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:45:08
ChIJ9Ssr4q9p818RQQoYdXLVmTc,戸地駐車場,日本、〒952-2132 新潟県佐渡市戸地,38.1006047,138.2611803,3.7,6,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3.7（6件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:10
ChIJadbK5NSb9F8R20J3u5MLMnU,多田海浜公園駐車場,日本、〒952-0822 新潟県佐渡市多田２６２−１２,37.9121184,138.4817659,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:11
ChIJaTdhv1lc818R6--IZ8Vdvb0,佐渡市営湊駐車場（有料）,日本、〒952-0014 新潟県佐渡市両津湊２００−１,38.0797504,138.4359014,4,1,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,情報なし,https://www.city.sado.niigata.jp/soshiki/2020/3611.html,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4（1件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:45:13
ChIJAwr_GRKD9F8R-CEDde2YbV8,大滝楽舎駐車場／山里カフェ山里駐車場,日本、〒952-0502 新潟県佐渡市羽茂大崎２１８４,37.8779939,138.33967379999999,5,2,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価5（2件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,羽茂,CID URL検索,2025-08-09 12:45:14
ChIJAwzU0ClL818RqB7dS17RSJY,虫崎駐車場,日本、〒952-3112 新潟県佐渡市黒姫,38.247377,138.5039692,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:16
ChIJB_dhV6th818RhNkSd0v0B8Q,新穂民俗資料館駐車場,日本、〒952-0106 新潟県佐渡市新穂瓜生屋４９０,38.0162638,138.4264617,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,新穂,CID URL検索,2025-08-09 12:45:17
ChIJb57g6Ued9F8RZA796Q5lYsc,戦道駐車場,日本、〒952-0706 新潟県佐渡市徳和 VCW3+GG,37.8963355,138.4038037,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:18
ChIJb5HiTCVl818R_PPPY-JQcuc,相川諏訪町駐車場,日本、〒952-1525 新潟県佐渡市相川諏訪町３４,38.0371439,138.2513734,3,1,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3（1件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:45:20
ChIJPwCuAEBe818RSHfIaihTNlg,蕎麦 茂左衛門,日本、〒952-0104 新潟県佐渡市新穂田野沢１６３−１,38.0362107,138.45781900000003,4.4,78,営業中,"月曜日: 11時30分～14時00分, 17時00分～21時00分; 火曜日: 11時30分～14時00分, 17時00分～21時00分; 水曜日: 11時30分～14時00分, 17時00分～21時00分; 木曜日: 11時30分～14時00分, 17時00分～21時00分; 金曜日: 11時30分～14時00分, 17時00分～21時00分; 土曜日: 11時30分～14時00分, 17時00分～21時00分; 日曜日: 定休日",0259-67-7972,https://sobamozem.com/,価格情報なし,"レストラン, 飲食店, 観光スポット, 施設",レストランです。評価4.4（78件のレビュー）。店内飲食に対応。佐渡島にあります。,不可,不可,可,不可,可,可,新穂,CID URL検索,2025-08-09 12:45:21
ChIJbUCIbwCB9F8RWZJ1tngUo_k,素浜海岸駐車場,日本、〒952-0602 新潟県佐渡市小比叡 397番地25 佐渡市素浜青少年海の家,37.848031399999996,138.2701496,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:23
ChIJbyoHYLKZ9F8R1rKWu_xOPpA,本行寺参拝者駐車場,日本、〒952-0821 新潟県佐渡市松ケ崎,37.921200899999995,138.49821219999998,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:24
ChIJC9hELKld818RZ7FV9PTJd10,平沢海水浴場駐車場,日本、〒952-0005 新潟県佐渡市梅津２０９６,38.0983853,138.4352375,4.5,2,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4.5（2件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:25
ChIJDYX1fQBd818RNF3AP-4PWRY,旅館組合駐車場,日本、〒952-0014 新潟県佐渡市両津湊９５２ 0014,38.081035199999995,138.4366425,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:45:27
ChIJe8T5i9Bd818Ra7ncloLPLEo,日蓮聖人佐渡銅像 駐車場,日本、〒952-0005 新潟県佐渡市梅津２２０９−１０,38.0964038,138.424211,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:28
ChIJEVihKjFl818RPuHMCYF5UkA,佐渡金山第１駐車場,日本、〒952-1501 新潟県佐渡市下相川佐渡金山前,38.0422207,138.25705969999999,4.1,7,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4.1（7件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:45:30
ChIJf84X-GVF818Rj8UuoLU6Wsk,ドンデン山駐車場,日本、〒952-0003 新潟県佐渡市椿,38.138194399999996,138.3900981,5,7,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価5（7件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:31
ChIJFzrVsVJn818RSK_cmBbNUzc,ひらせいホームセンター第２駐車場,日本、〒952-1212 新潟県佐渡市泉１０３０−１,38.012287,138.3497448,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:33
ChIJG7mXdV9v818RmD11aUYYYh0,北沢駐車場,日本、〒952-1539 新潟県佐渡市相川北沢町,38.03691,138.24061039999998,5,1,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価5（1件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:45:34
ChIJGSA-FQBj818RgmUXaCk5UFI,尾畑酒造第一駐車場,日本、〒952-0318 新潟県佐渡市真野新町７７０−６,37.9629597,138.3457885,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,真野,CID URL検索,2025-08-09 12:45:36
ChIJGXvbgaFp818R6Rlr_6afTqM,尖閣湾駐車場,日本、〒952-2133 新潟県佐渡市北狄,38.093927199999996,138.25052879999998,4,3,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4（3件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:37
ChIJh7uZCxd-9F8RIva5sLYarnE,深浦駐車場,日本、〒952-0621 新潟県佐渡市深浦,37.8173047,138.2143093,4.2,39,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,0259-63-3111,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4.2（39件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:39
ChIJhQS36lQ1818ReKYCLGKrci0,大野亀第一駐車場,日本、〒952-3203 新潟県佐渡市願大野亀,38.3201989,138.466622,4,27,営業中,,0259-63-3111,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4（27件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:40
ChIJhZPLNgBd818RpzSBg64tNvE,キング両津店駐車場,日本、〒952-0011 新潟県佐渡市両津夷２５５−２５,38.0855707,138.4337152,,,営業中,月曜日: 9時00分～19時00分; 火曜日: 9時00分～19時00分; 水曜日: 9時00分～19時00分; 木曜日: 9時00分～19時00分; 金曜日: 9時00分～19時00分; 土曜日: 9時00分～19時00分; 日曜日: 9時00分～19時00分,0259-23-3455,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:45:42
ChIJi2s6p8Nh818RqIvHSSwThYI,特P 新穂37駐車場,日本、〒952-0115 新潟県佐渡市新穂３７,38.0144577,138.42108149999999,,,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,情報なし,https://toku-p.earth-car.com/parking-detail/310020980?mediacode=38-00212-001,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,新穂,CID URL検索,2025-08-09 12:45:43
ChIJiSMeotdJ818RXP0p65APNtg,内海府トンネルパーキング,日本、〒952-3112 新潟県佐渡市黒姫 6FMX+35,38.2327243,138.4979841,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:45
ChIJ0a2mBpNc818RxGxVM_CS9os,両津総合体育館,日本、〒952-0005 新潟県佐渡市梅津２３４３−１,38.0930499,138.431925,3.8,53,営業中,月曜日: 8時30分～22時00分; 火曜日: 8時30分～22時00分; 水曜日: 8時30分～22時00分; 木曜日: 8時30分～22時00分; 金曜日: 8時30分～22時00分; 土曜日: 8時30分～22時00分; 日曜日: 8時30分～22時00分,0259-27-7080,https://www.city.sado.niigata.jp/admin/org/address/04_03_01.shtml,価格情報なし,"観光スポット, 施設",観光スポットです。評価3.8（53件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:46
ChIJJcR5x1Fd818ROJkbOiCnzG8,みなと公園駐車場,日本、〒952-0014 新潟県佐渡市両津湊８７−１,38.079431,138.4390473,3,2,営業中,月曜日: 9時30分～18時00分; 火曜日: 9時30分～18時00分; 水曜日: 9時30分～18時00分; 木曜日: 9時30分～18時00分; 金曜日: 9時30分～18時00分; 土曜日: 9時30分～18時00分; 日曜日: 9時30分～18時00分,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3（2件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:45:48
ChIJjeNFPABd818R3TzdF9XNHdI,いしはら寿司 専用駐車場,日本、〒952-0011 新潟県佐渡市両津夷１９４−２,38.0841906,138.4326921,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:45:49
ChIJJft4TwBv818R2rhCqXx531I,北沢浮遊選鉱場跡駐車場,日本、〒952-1539 新潟県佐渡市相川北沢町９５２ 1539,38.0369762,138.2406341,4.2,6,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4.2（6件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:45:51
ChIJJQFhah5d818ROtBVtqxJfBI,両津港南埠頭P2駐車場（有料）,日本、〒952-0014 新潟県佐渡市両津湊３５４,38.0789209,138.4407579,,,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,情報なし,https://www.sadokisen.co.jp/access-map/terminal-guide-ryoutsu/,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:45:53
ChIJjVClQQBd818RxpA5GHZI6uc,ウエルシア佐渡両津店駐車場,日本、〒952-0028 新潟県佐渡市加茂歌代４０８,38.0806332,138.4187034,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:54
ChIJK2-EPM6H9F8RyfrjuApnj-U,小木城山公園駐車場,日本、〒952-0604 新潟県佐渡市小木町 R77J+52,37.8129466,138.2801036,4,3,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,0259-63-3111,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4（3件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,小木,CID URL検索,2025-08-09 12:45:56
ChIJkQMuoo5P818RHGwiDlgGnEk,浦川漁港駐車場,日本、〒952-3114 新潟県佐渡市浦川,38.2007465,138.4872063,3,1,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価3（1件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:45:57
ChIJkRh1H2Zn818RM13ki1coRjk,佐渡金山第５駐車場,日本、〒952-1501 新潟県佐渡市下相川,38.0435161,138.2610689,4.3,3,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4.3（3件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,相川,CID URL検索,2025-08-09 12:45:59
ChIJKTccRYNl818RvHeZQtV62mI,特P 河原田本町316-1駐車場,日本、〒952-1315 新潟県佐渡市河原田本町３１６−１,37.9992294,138.319809,,,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,情報なし,https://toku-p.earth-car.com/parking-detail/310018765?mediacode=38-00212-001,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:46:00
ChIJkU4RVQBd818Rn2Kaep7CNzo,かもこ無料駐車場,日本、〒952-0011 新潟県佐渡市両津夷２６０−１,38.0826748,138.43318499999998,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,両津,CID URL検索,2025-08-09 12:46:02
ChIJLcofu7eH9F8RZjabITUpt3I,生そば七右衛門専用駐車場,日本、〒952-0604 新潟県佐渡市小木町６４３,37.81768580000001,138.27634279999998,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,小木,CID URL検索,2025-08-09 12:46:03
ChIJLcpRwoNj818R6ck0mIL4lvQ,いぶき２１駐車場,日本、〒952-0313 新潟県佐渡市真野,37.9571903,138.3442294,,,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。佐渡島にあります。,不可,不可,不可,不可,不可,不可,真野,CID URL検索,2025-08-09 12:46:05
ChIJMVALCbJc818Rpn_e3vkfYdo,箱根清水(新潟の名水),日本、〒952-0004 新潟県佐渡市羽吉３２０,38.1066166,138.4176298,4.2,10,営業中,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,0259-63-3111,https://www.pref.niigata.lg.jp/sec/kankyotaisaku/meisui-sado.html,価格情報なし,"公園, 観光スポット, 施設",公園です。評価4.2（10件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,佐渡市内,CID URL検索,2025-08-09 12:46:06
ChIJM0YlyDCB9F8RYtV7bIyMX5o,羽茂素浜海岸駐車場,日本、〒952-0513 新潟県佐渡市羽茂村山,37.8552611,138.28502749999998,4,2,営業中,,情報なし,公式サイトなし,価格情報なし,"駐車場, 観光スポット, 施設",駐車場です。評価4（2件のレビュー）。佐渡島にあります。,不可,不可,不可,不可,不可,不可,羽茂,CID URL検索,2025-08-09 12:46:08
